CRN,Title,Days,Time,Cred
77216,Elements of Group Theory,MWF,02:25 pm-03:30 pm,4
71624,Discrete Methods,MWF,10:25 am-11:15 am,3
77231,Discrete Methods,MWF,11:35 am-12:25 pm,3
72336,Operating Systems,TR,02:40 pm-04:10 pm,3
73210,Lang Translation & Implement,TR,04:20 pm-05:50 pm,4
77783,Artificial Intelligence,TR,11:20 am-12:50 pm,3
76921,Theology and Science,R,04:20 pm-07:20 pm,4
78921,Theology and Science,W,04:20 pm-07:20 pm,4
75806,Computer System Design,W,06:00 pm-09:00 pm,3
76625,Dance Conditioning: Pilates,TR,01:00 pm-02:30 pm,2
